name,city,state,country,latitude,longitude,first_visit,visits,type,image,note
San Diego Zoo Safari Park,San Diego,California,United States,33.09976611022301, -116.99233711859131,2023-11-18,1,Zoo,san-diego-zoo.PNG,Got real lucky on the sunset this day
San Diego Air & Space Museum,San Diego,California,United States,32.72625285101192, -117.1543306879205,2022-04-22,1,Museum,sd-air-and-space.PNG,I can't believe they closed early for a special event.
Fleet Science Center,San Diego,California,United States,32.730764772420166, -117.14697003209777,2023-01-22,1,Museum,fleet-science-center.PNG,I went here to be by myself post-breakup. It really helped a lot.
San Diego Natural History Museum,San Diego,California,United States,32.73221546606304, -117.14734975135359,2023-01-22,3,Museum,,Having the aquarium reciprocity agreement was awesome.
San Diego Model Railroad Museum,San Diego,California,United States,32.73113057693154, -117.14861532710269,2023-02-20,2,Museum,sd-model-railroad-museum.PNG,I'm convinced I was Andres's backup date for when his GF was out of town.
Museum of Us,San Diego,California,United States,32.73158861302209, -117.15239731389613,2021-04-22,1,Museum,,I visited when I was doing a "campus tour" of UCSD. I had already accepted but I just wanted to see it.
Museum of Contemporary Art San Diego,San Diego,California,United States,32.84440999610128, -117.27817529997743,2024-04-18,4,Art,museum-of-contemporary-art-sd.PNG,This could have been my first date. I would get married here if I could.
Modern Art Museum of Fort Worth,Fort Worth,Texas,United States,32.74922223497612, -97.36330141255941,2024-07-20,1,Art,modern-art-museum-fw.PNG,Anastasiya said that she realized we were serious when I visted her for this trip. I thought we were serious long before SMH.
Texas Discovery Gardens,Dallas,Texas,United States,32.7750792608006, -96.75983710852643,2024-07-21,1,Nature,texas-discovery-gardens.PNG,Butterflies! I forgot my wallet this day.
The Metropolitan Museum of Art,New York,New York,United States,40.77944469557423, -73.96317962993693,2021-08-26,1,Art,the-met.PNG,How have I not been back
Museum of Broadway,New York,New York,United States,40.75764057225175, -73.98434594160291,2024-07-01,1,Museum,museum-of-broadway.PNG,Ran out of time oops.
The Museum of Modern Art,New York,New York,United States,40.761436971203786, -73.97763779401991,2024-06-27,1,Art,moma-ny.PNG,Yves Klien was CAGED
Six,New York,New York,United States,40.76026529096828, -73.98680327065618,2024-06-27,1,Theater,six.PNG,Did not realize it was like a concert in there
Harry Potter and the Cursed Child,New York,New York,United States,40.75702152340405, -73.98761474801276,2024-06-29,1,Theater,hp-and-the-cursed-child.PNG,Crazy set. Also crazy that Courtney decided how 3 hours of my birthday would go.
The Book of Mormon,New York,New York,United States,40.761167046600285, -73.9856363846675,2024-06-29,1,Theater,book-of-mormon.PNG,I was supposed to see this in Seattle. Then COVID.
Hadestown,New York,New York,United States,40.76068098524778, -73.98569569474482,2024-07-02,1,Theater,hadestown.PNG,I am not a fan of Jordan Fisher
Top of the Rock,New York,New York,United States,40.759310038964344, -73.97943245398304,2024-07-01,1,Other,top-of-the-rock.PNG,Buildings got stale somehow.
One World Observatory,New York,New York,United States,40.71302449590818, -74.01317836462776,2024-07-01,1,Other,one-world-observatory.PNG,It was really tall.
The Mob Museum,Las Vegas,Nevada,United States,36.17277646867219, -115.14116440128744,2024-03-25,1,Museum,mob-museum.PNG,"This Mob Museum pin was the final pin I took a picture when first creating this page. I have a whole lot of pins! This digitization process has been a whole lot of fun trying to remember and scavenge for information about each. Funnily enough, I am completely guessing about this museum's first visit. I don't actually know."
The Neon Museum,Las Vegas,Nevada,United States,36.17695640352818, -115.13532107013408,2025-03-26,1,Museum,neon-museum.PNG,This spring break I decided to hang out in Vegas a little longer to see where I was gonna spend the start of my career.
Omega Mart,Las Vegas,Nevada,United States,36.13236635509945, -115.18171282827596,2024-11-30,1,Art,omega-mart.PNG,"I was in Vegas for Thanksgiving. Caesars didn't get back to me yet so I thought I didn't have the job."
Atomic Museum,Las Vegas,Nevada,United States,36.1140119983512, -115.14838503197366,2026-04-12,1,Museum,,Second atomic museum I've been to.
F1 Las Vegas Grand Prix,Las Vegas,Nevada,United States,36.12115884596698, -115.16026827579674,2025-11-20,1,Other,f1-lv.PNG,"So I only saw the practice, sue me! It counts! Zedd also performed and my friend and I got to the rail for that. Shoutout to my ear plugs, because otherwise, I may not have ears anymore."
Albuquerque International Balloon Fiesta,Albuquerque,New Mexico,United States,35.193203816046385, -106.59821601471035,2024-10-06,1,Other,abq-balloon-fiesta.PNG,Accidentally turned a family trip and an Anastasiya trip into a single trip.
National Museum of Nuclear Science & History,Albuquerque,New Mexico,United States,35.06595901969939, -106.53382836663145,2024-10-05,1,Museum,national-museum-of-nuclear.PNG,Dad had so many cool stories about... having to prepare for nuclear war in Hawaii.
San Francisco Museum of Modern Art,San Francisco,California,United States,37.78567321148595, -122.40096475173632,2026-03-21,1,Art,sf-moma.PNG,I was upset and nearby one day so I sat in the lobby of the museum. I thought I would osmosis the art or something.
de Young Museum,San Francisco,California,United States,37.771431168120685, -122.46888299978153,2026-06-17,1,Art,,Ran in just to see the Monet exhit really quickly. I'm a member now too and I don't even know why.
Asian Art Museum,San Francisco,California,United States,37.780200854586155, -122.41639653745402,2026-06-14,1,Art,asian-art-museum.PNG,Mogged around with Charlesy. Best day ever?
Hamilton,Seattle,Washington,United States,47.61340600218781, -122.33164665393943,2022-08-31,1,Theater,hamilton.PNG,Lit
Moulin Rouge,Seattle,Washington,United States,47.61325488125853, -122.33145417289714,2022-12-27,1,Theater,moulin-rouge.PNG,Surprise
Les Misérables,San Diego,California,United States,32.71756160979663, -117.16223249292781,2023-10-08,1,Theater,les-mis.PNG,Holy nosebleeds
Chicago,San Diego,California,United States,32.71733585312794, -117.1624367880308,2024-02-18,1,Theater,chicago-musical.PNG,I went with Gaby
3 Summers of Lincoln,San Diego,California,United States,32.87139529336875, -117.24081174080928,2025-03-07,1,Theater,,"This might have been one of my favorite musicals ever. I need them to record the album, I need them to go to Broadway!"
Carlsbad Caverns National Park,Carlsbad,New Mexico,United States,32.13733270341648, -104.54351386222773,2025-05-26,1,Nature,carlsbad-caverns.PNG,Long road trip
Grand Canyon National Park,Grand Canyon,Arizona,United States,36.08491550321499, -112.17535210317143,2024-01-20,1,Nature,grand-canyon.PNG,"Was visiting to make Courtney get over her breakup. Grand Canyon was a bonus."
